DATE,DEWP,HIDX,TEMP,WCHL
01-09T07:00:00,21.8,31.7,31.7,22.6
01-09T08:00:00,21.8,31.8,31.8,22.7
01-09T09:00:00,21.8,32.4,32.4,23.3
01-09T10:00:00,22.1,33.4,33.4,24.5
01-09T11:00:00,22.4,34.5,34.5,25.8
01-09T12:00:00,22.4,35.4,35.4,27.0
01-09T13:00:00,22.5,36.3,36.3,28.1
01-09T14:00:00,22.6,36.9,36.9,28.8
01-09T15:00:00,22.5,37.2,37.2,29.2
01-09T16:00:00,22.4,37.0,37.0,28.8
01-09T17:00:00,22.4,36.3,36.3,27.9
01-09T18:00:00,22.2,35.7,35.7,27.3
01-09T19:00:00,22.0,35.3,35.3,26.7
01-09T20:00:00,21.9,34.8,34.8,26.2
01-09T21:00:00,21.8,34.2,34.2,25.6
01-09T22:00:00,21.8,33.7,33.7,25.0
01-09T23:00:00,21.7,33.3,33.3,24.5
01-10T00:00:00,20.7,31.9,31.9,22.5
01-10T01:00:00,21.5,32.5,32.5,23.5
01-10T02:00:00,21.4,32.2,32.2,23.2
01-10T03:00:00,21.3,32.0,32.0,23.0
01-10T04:00:00,21.4,31.7,31.7,22.6
01-10T05:00:00,21.4,31.4,31.4,22.3
01-10T06:00:00,21.2,31.3,31.3,22.1
01-10T07:00:00,21.2,31.2,31.2,22.0
01-10T08:00:00,21.2,31.4,31.4,22.1
01-10T09:00:00,21.3,32.0,32.0,22.7
01-10T10:00:00,21.6,33.0,33.0,24.0
01-10T11:00:00,21.9,34.1,34.1,25.3
01-10T12:00:00,22.0,35.1,35.1,26.6
01-10T13:00:00,22.1,36.0,36.0,27.6
01-10T14:00:00,22.1,36.7,36.7,28.5
01-10T15:00:00,22.1,37.0,37.0,28.8
01-10T16:00:00,22.0,36.8,36.8,28.5
01-10T17:00:00,22.0,36.1,36.1,27.6
01-10T18:00:00,21.9,35.5,35.5,27.0
01-10T19:00:00,21.7,35.1,35.1,26.4
01-10T20:00:00,21.6,34.5,34.5,25.8
01-10T21:00:00,21.6,34.0,34.0,25.2
01-10T22:00:00,21.6,33.5,33.5,24.6
01-10T23:00:00,21.5,33.1,33.1,24.2
01-11T00:00:00,20.4,31.7,31.7,22.2
01-11T01:00:00,21.3,32.3,32.3,23.2
01-11T02:00:00,21.1,32.0,32.0,22.9
01-11T03:00:00,21.1,31.7,31.7,22.7
01-11T04:00:00,21.2,31.4,31.4,22.3
01-11T05:00:00,21.1,31.2,31.2,22.0
01-11T06:00:00,21.0,31.0,31.0,21.9
01-11T07:00:00,21.0,31.0,31.0,21.7
01-11T08:00:00,21.0,31.1,31.1,21.8
01-11T09:00:00,21.1,31.7,31.7,22.4
01-11T10:00:00,21.4,32.8,32.8,23.7
01-11T11:00:00,21.7,33.9,33.9,25.0
01-11T12:00:00,21.8,34.9,34.9,26.3
01-11T13:00:00,21.9,35.7,35.7,27.3
01-11T14:00:00,21.8,36.4,36.4,28.1
01-11T15:00:00,21.8,36.6,36.6,28.5
01-11T16:00:00,21.7,36.5,36.5,28.2
01-11T17:00:00,21.7,35.8,35.8,27.3
01-11T18:00:00,21.5,35.2,35.2,26.5
01-11T19:00:00,21.4,34.7,34.7,26.0
01-11T20:00:00,21.3,34.2,34.2,25.4
01-11T21:00:00,21.2,33.6,33.6,24.7
01-11T22:00:00,21.2,33.1,33.1,24.2
01-11T23:00:00,21.1,32.7,32.7,23.7
01-12T00:00:00,20.0,31.3,31.3,21.7
01-12T01:00:00,20.9,32.0,32.0,22.8
01-12T02:00:00,20.8,31.6,31.6,22.5
01-12T03:00:00,20.8,31.4,31.4,22.4
01-12T04:00:00,20.8,31.1,31.1,22.0
01-12T05:00:00,20.8,30.9,30.9,21.7
01-12T06:00:00,20.6,30.7,30.7,21.5
01-12T07:00:00,20.6,30.7,30.7,21.4
01-12T08:00:00,20.7,30.9,30.9,21.6
01-12T09:00:00,20.8,31.5,31.5,22.2
01-12T10:00:00,21.1,32.5,32.5,23.5
01-12T11:00:00,21.4,33.7,33.7,24.7
01-12T12:00:00,21.5,34.6,34.6,25.9
01-12T13:00:00,21.5,35.5,35.5,27.0
01-12T14:00:00,21.6,36.1,36.1,27.7
01-12T15:00:00,21.5,36.4,36.4,28.2
01-12T16:00:00,21.4,36.3,36.3,27.9
01-12T17:00:00,21.4,35.6,35.6,27.0
01-12T18:00:00,21.2,34.9,34.9,26.3
01-12T19:00:00,21.1,34.5,34.5,25.6
01-12T20:00:00,21.0,33.9,33.9,25.1
01-12T21:00:00,20.9,33.4,33.4,24.4
01-12T22:00:00,20.9,32.9,32.9,23.8
01-12T23:00:00,20.8,32.4,32.4,23.4
01-13T00:00:00,19.6,31.0,31.0,21.4
01-13T01:00:00,20.6,31.7,31.7,22.5
01-13T02:00:00,20.5,31.4,31.4,22.2
01-13T03:00:00,20.5,31.1,31.1,22.0
01-13T04:00:00,20.5,30.9,30.9,21.7
01-13T05:00:00,20.4,30.6,30.6,21.3
01-13T06:00:00,20.3,30.4,30.4,21.2
01-13T07:00:00,20.3,30.4,30.4,21.0
01-13T08:00:00,20.5,30.6,30.6,21.2
01-13T09:00:00,20.6,31.2,31.2,21.8
01-13T10:00:00,20.8,32.2,32.2,23.1
01-13T11:00:00,21.1,33.4,33.4,24.4
01-13T12:00:00,21.2,34.4,34.4,25.6
01-13T13:00:00,21.2,35.2,35.2,26.7
01-13T14:00:00,21.3,35.8,35.8,27.4
01-13T15:00:00,21.2,36.1,36.1,27.8
01-13T16:00:00,21.1,36.0,36.0,27.5
01-13T17:00:00,21.1,35.3,35.3,26.7
01-13T18:00:00,21.0,34.7,34.7,25.9
01-13T19:00:00,20.9,34.2,34.2,25.2
01-13T20:00:00,20.8,33.7,33.7,24.7
01-13T21:00:00,20.7,33.1,33.1,24.0
01-13T22:00:00,20.7,32.6,32.6,23.4
01-13T23:00:00,20.5,32.2,32.2,23.0
01-14T00:00:00,19.6,30.9,30.9,21.2
01-14T01:00:00,20.4,31.4,31.4,22.1
01-14T02:00:00,20.2,31.0,31.0,21.7
01-14T03:00:00,20.2,30.7,30.7,21.5
01-14T04:00:00,20.1,30.5,30.5,21.1
01-14T05:00:00,20.0,30.2,30.2,20.7
01-14T06:00:00,19.9,30.0,30.0,20.6
01-14T07:00:00,19.9,30.0,30.0,20.4
01-14T08:00:00,20.0,30.1,30.1,20.5
01-14T09:00:00,20.1,30.7,30.7,21.1
01-14T10:00:00,20.3,31.7,31.7,22.4
01-14T11:00:00,20.5,32.8,32.8,23.6
01-14T12:00:00,20.6,33.9,33.9,24.9
01-14T13:00:00,20.6,34.7,34.7,26.0
01-14T14:00:00,20.7,35.4,35.4,26.8
01-14T15:00:00,20.6,35.7,35.7,27.2
01-14T16:00:00,20.5,35.6,35.6,27.0
01-14T17:00:00,20.4,34.9,34.9,26.1
01-14T18:00:00,20.3,34.2,34.2,25.3
01-14T19:00:00,20.2,33.7,33.7,24.7
01-14T20:00:00,20.0,33.2,33.2,24.1
01-14T21:00:00,19.9,32.6,32.6,23.4
01-14T22:00:00,19.9,32.1,32.1,22.8
01-14T23:00:00,19.7,31.7,31.7,22.4
01-15T00:00:00,18.9,30.4,30.4,20.6
01-15T01:00:00,19.6,30.9,30.9,21.4
01-15T02:00:00,19.5,30.5,30.5,21.1
01-15T03:00:00,19.5,30.2,30.2,20.8
01-15T04:00:00,19.4,29.9,29.9,20.4
01-15T05:00:00,19.3,29.6,29.6,20.1
01-15T06:00:00,19.2,29.5,29.5,19.9
01-15T07:00:00,19.2,29.5,29.5,19.9
01-15T08:00:00,19.4,29.6,29.6,19.9
01-15T09:00:00,19.6,30.3,30.3,20.6
01-15T10:00:00,19.8,31.4,31.4,22.0
01-15T11:00:00,20.1,32.5,32.5,23.2
01-15T12:00:00,20.2,33.6,33.6,24.7
01-15T13:00:00,20.3,34.5,34.5,25.7
01-15T14:00:00,20.3,35.2,35.2,26.6
01-15T15:00:00,20.3,35.5,35.5,27.1
01-15T16:00:00,20.2,35.5,35.5,26.9
01-15T17:00:00,20.2,34.8,34.8,26.1
01-15T18:00:00,20.1,34.1,34.1,25.2
01-15T19:00:00,20.0,33.6,33.6,24.6
01-15T20:00:00,19.8,33.1,33.1,24.1
01-15T21:00:00,19.7,32.5,32.5,23.3
01-15T22:00:00,19.7,32.0,32.0,22.7
01-15T23:00:00,19.5,31.6,31.6,22.3
01-16T00:00:00,18.8,30.4,30.4,20.7
01-16T01:00:00,19.5,30.8,30.8,21.3
01-16T02:00:00,19.3,30.4,30.4,21.0
01-16T03:00:00,19.3,30.1,30.1,20.8
01-16T04:00:00,19.2,29.8,29.8,20.4
01-16T05:00:00,19.2,29.5,29.5,20.0
01-16T06:00:00,19.1,29.4,29.4,19.8
01-16T07:00:00,19.2,29.4,29.4,19.8
01-16T08:00:00,19.3,29.6,29.6,19.9
01-16T09:00:00,19.5,30.2,30.2,20.6
01-16T10:00:00,19.7,31.3,31.3,21.9
01-16T11:00:00,19.9,32.5,32.5,23.3
01-16T12:00:00,20.1,33.6,33.6,24.7
01-16T13:00:00,20.1,34.5,34.5,25.8
01-16T14:00:00,20.2,35.2,35.2,26.6
01-16T15:00:00,20.2,35.6,35.6,27.2
01-16T16:00:00,20.1,35.5,35.5,27.1
01-16T17:00:00,20.2,34.9,34.9,26.2
01-16T18:00:00,20.1,34.2,34.2,25.4
01-16T19:00:00,20.0,33.7,33.7,24.8
01-16T20:00:00,20.0,33.2,33.2,24.3
01-16T21:00:00,19.9,32.6,32.6,23.5
01-16T22:00:00,19.8,32.1,32.1,22.9
01-16T23:00:00,19.6,31.6,31.6,22.5
01-17T00:00:00,19.1,30.6,30.6,21.0
01-17T01:00:00,19.5,30.8,30.8,21.5
01-17T02:00:00,19.3,30.5,30.5,21.1
01-17T03:00:00,19.4,30.2,30.2,20.9
01-17T04:00:00,19.3,29.9,29.9,20.5
01-17T05:00:00,19.3,29.6,29.6,20.1
01-17T06:00:00,19.2,29.4,29.4,20.0
01-17T07:00:00,19.3,29.4,29.4,20.0
01-17T08:00:00,19.5,29.6,29.6,20.0
01-17T09:00:00,19.7,30.3,30.3,20.7
01-17T10:00:00,19.9,31.5,31.5,22.1
01-17T11:00:00,20.0,32.6,32.6,23.4
01-17T12:00:00,20.2,33.7,33.7,24.8
01-17T13:00:00,20.2,34.6,34.6,26.0
01-17T14:00:00,20.4,35.4,35.4,26.8
01-17T15:00:00,20.3,35.7,35.7,27.4
01-17T16:00:00,20.3,35.7,35.7,27.2
01-17T17:00:00,20.3,35.0,35.0,26.4
01-17T18:00:00,20.2,34.4,34.4,25.6
01-17T19:00:00,20.3,33.8,33.8,24.9
01-17T20:00:00,20.2,33.3,33.3,24.4
01-17T21:00:00,20.1,32.7,32.7,23.6
01-17T22:00:00,20.0,32.2,32.2,23.0
01-17T23:00:00,19.7,31.7,31.7,22.5
01-18T00:00:00,19.3,30.7,30.7,21.1
01-18T01:00:00,19.7,30.9,30.9,21.5
01-18T02:00:00,19.5,30.5,30.5,21.2
01-18T03:00:00,19.5,30.2,30.2,20.9
01-18T04:00:00,19.4,29.9,29.9,20.5
01-18T05:00:00,19.4,29.6,29.6,20.1
01-18T06:00:00,19.3,29.4,29.4,20.0
01-18T07:00:00,19.4,29.5,29.5,20.0
01-18T08:00:00,19.6,29.6,29.6,20.1
01-18T09:00:00,19.8,30.3,30.3,20.7
01-18T10:00:00,19.9,31.5,31.5,22.1
01-18T11:00:00,20.1,32.6,32.6,23.4
01-18T12:00:00,20.2,33.8,33.8,24.8
01-18T13:00:00,20.2,34.6,34.6,26.0
01-18T14:00:00,20.4,35.4,35.4,26.8
01-18T15:00:00,20.3,35.7,35.7,27.3
01-18T16:00:00,20.2,35.7,35.7,27.2
01-18T17:00:00,20.2,35.0,35.0,26.4
01-18T18:00:00,20.2,34.4,34.4,25.6
01-18T19:00:00,20.2,33.8,33.8,25.0
01-18T20:00:00,20.0,33.3,33.3,24.4
01-18T21:00:00,20.0,32.7,32.7,23.6
01-18T22:00:00,19.9,32.2,32.2,23.1
01-18T23:00:00,19.6,31.8,31.8,22.6
01-19T00:00:00,19.4,30.9,30.9,21.3
01-19T01:00:00,19.7,30.9,30.9,21.6
01-19T02:00:00,19.4,30.5,30.5,21.2
01-19T03:00:00,19.4,30.2,30.2,20.9
01-19T04:00:00,19.3,29.9,29.9,20.5
01-19T05:00:00,19.3,29.6,29.6,20.1
01-19T06:00:00,19.3,29.4,29.4,19.9
01-19T07:00:00,19.4,29.5,29.5,20.0
01-19T08:00:00,19.6,29.6,29.6,20.1
01-19T09:00:00,19.8,30.3,30.3,20.7
01-19T10:00:00,19.9,31.4,31.4,22.0
01-19T11:00:00,20.0,32.6,32.6,23.4
01-19T12:00:00,20.2,33.8,33.8,24.8
01-19T13:00:00,20.1,34.7,34.7,26.0
01-19T14:00:00,20.3,35.4,35.4,26.8
01-19T15:00:00,20.2,35.7,35.7,27.4
01-19T16:00:00,20.1,35.7,35.7,27.3
01-19T17:00:00,20.1,35.0,35.0,26.4
01-19T18:00:00,20.0,34.3,34.3,25.6
01-19T19:00:00,20.0,33.8,33.8,24.8
01-19T20:00:00,19.9,33.2,33.2,24.3
01-19T21:00:00,19.9,32.6,32.6,23.5
01-19T22:00:00,19.8,32.1,32.1,22.9
01-19T23:00:00,19.5,31.6,31.6,22.4
01-20T00:00:00,19.6,30.9,30.9,21.4
01-20T01:00:00,19.6,30.8,30.8,21.4
01-20T02:00:00,19.3,30.4,30.4,20.9
01-20T03:00:00,19.2,30.0,30.0,20.7
01-20T04:00:00,19.1,29.7,29.7,20.2
01-20T05:00:00,19.0,29.4,29.4,19.8
01-20T06:00:00,19.0,29.2,29.2,19.6
01-20T07:00:00,19.1,29.2,29.2,19.6
01-20T08:00:00,19.2,29.4,29.4,19.8
01-20T09:00:00,19.5,30.1,30.1,20.4
01-20T10:00:00,19.5,31.2,31.2,21.7
01-20T11:00:00,19.6,32.4,32.4,23.2
01-20T12:00:00,19.8,33.6,33.6,24.7
01-20T13:00:00,19.8,34.5,34.5,25.8
01-20T14:00:00,19.9,35.2,35.2,26.6
01-20T15:00:00,19.9,35.5,35.5,27.1
01-20T16:00:00,19.7,35.5,35.5,27.0
01-20T17:00:00,19.7,34.8,34.8,26.1
01-20T18:00:00,19.7,34.1,34.1,25.3
01-20T19:00:00,19.7,33.6,33.6,24.6
01-20T20:00:00,19.6,33.0,33.0,24.0
01-20T21:00:00,19.6,32.5,32.5,23.3
01-20T22:00:00,19.4,31.9,31.9,22.7
01-20T23:00:00,19.2,31.5,31.5,22.1
01-21T00:00:00,19.4,30.8,30.8,21.2
01-21T01:00:00,19.2,30.6,30.6,21.0
01-21T02:00:00,19.0,30.1,30.1,20.5
01-21T03:00:00,18.8,29.7,29.7,20.2
01-21T04:00:00,18.7,29.4,29.4,19.8
01-21T05:00:00,18.6,29.0,29.0,19.4
01-21T06:00:00,18.7,28.9,28.9,19.2
01-21T07:00:00,18.8,28.9,28.9,19.2
01-21T08:00:00,18.9,29.1,29.1,19.5
01-21T09:00:00,19.1,29.9,29.9,20.1
01-21T10:00:00,19.2,31.0,31.0,21.4
01-21T11:00:00,19.2,32.2,32.2,22.9
01-21T12:00:00,19.4,33.4,33.4,24.4
01-21T13:00:00,19.4,34.3,34.3,25.6
01-21T14:00:00,19.5,35.0,35.0,26.4
01-21T15:00:00,19.4,35.4,35.4,27.1
01-21T16:00:00,19.3,35.5,35.5,27.0
01-21T17:00:00,19.3,34.8,34.8,26.1
01-21T18:00:00,19.3,34.1,34.1,25.3
01-21T19:00:00,19.4,33.6,33.6,24.6
01-21T20:00:00,19.3,33.0,33.0,24.0
01-21T21:00:00,19.3,32.4,32.4,23.3
01-21T22:00:00,19.2,31.9,31.9,22.7
01-21T23:00:00,19.0,31.4,31.4,22.1
01-22T00:00:00,19.5,31.0,31.0,21.5
01-22T01:00:00,19.0,30.6,30.6,21.0
01-22T02:00:00,18.8,30.1,30.1,20.6
01-22T03:00:00,18.7,29.8,29.8,20.3
01-22T04:00:00,18.5,29.4,29.4,19.8
01-22T05:00:00,18.5,29.1,29.1,19.5
01-22T06:00:00,18.6,28.9,28.9,19.3
01-22T07:00:00,18.6,28.9,28.9,19.3
01-22T08:00:00,18.8,29.2,29.2,19.5
01-22T09:00:00,19.0,29.9,29.9,20.2
01-22T10:00:00,19.0,31.1,31.1,21.5
01-22T11:00:00,19.1,32.3,32.3,23.1
01-22T12:00:00,19.3,33.6,33.6,24.6
01-22T13:00:00,19.2,34.5,34.5,25.8
01-22T14:00:00,19.3,35.2,35.2,26.6
01-22T15:00:00,19.3,35.6,35.6,27.1
01-22T16:00:00,19.2,35.6,35.6,27.1
01-22T17:00:00,19.2,34.9,34.9,26.2
01-22T18:00:00,19.3,34.2,34.2,25.4
01-22T19:00:00,19.3,33.7,33.7,24.8
01-22T20:00:00,19.3,33.2,33.2,24.2
01-22T21:00:00,19.2,32.6,32.6,23.5
01-22T22:00:00,19.2,32.1,32.1,22.9
01-22T23:00:00,19.0,31.6,31.6,22.4
01-23T00:00:00,19.5,31.2,31.2,21.8
01-23T01:00:00,19.0,30.7,30.7,21.3
01-23T02:00:00,18.8,30.2,30.2,20.8
01-23T03:00:00,18.7,29.8,29.8,20.5
01-23T04:00:00,18.6,29.5,29.5,20.1
01-23T05:00:00,18.6,29.2,29.2,19.7
01-23T06:00:00,18.6,29.0,29.0,19.5
01-23T07:00:00,18.7,29.0,29.0,19.6
01-23T08:00:00,18.9,29.3,29.3,19.7
